province,latitude,longitude,fire_cause,fire_type,response_type,protection_zone,fn_indicator,n_fn_20km,any_evacuation,log_fire_size_ha,log_dist_to_fn_km
BC,49.3014,-119.7091,human,fire,full,other,False,10,False,0.1034513790327308,-1.4348980985279376
BC,52.0351,-123.177,human,fire,full,other,True,7,False,-1.3350842027908132,-2.8210130662253
BC,53.2884,-120.0705,human,fire,full,other,False,0,False,-0.2878450540058623,0.6716453883251047
BC,52.2548,-120.8352,human,fire,full,other,False,0,False,-1.2858830786432789,-0.2438616463148759
BC,49.3115,-122.2438,human,fire,moderate,other,False,11,False,-1.3172785175846522,-0.8083263143938202
BC,49.4837,-121.9887,human,fire,moderate,other,False,1,False,-0.5153386396784149,-0.7234295421009906
BC,56.271,-119.9341,human,fire,full,other,False,0,False,0.8269147296392942,-0.5815401809268537
BC,56.5319,-121.9246,human,fire,full,other,False,2,False,-0.9503304055573724,-2.3606377437303747
BC,51.4623,-119.7008,natural,fire,moderate,other,False,0,False,0.013266930103714,-0.4643793232945512
BC,52.8138,-122.9345,natural,fire,full,other,False,0,False,0.2988838351403096,-0.507352862260739
BC,51.1679,-125.017,natural,fire,monitor,other,False,0,False,-1.2533234327593508,-0.5475645831042032
BC,59.8051,-121.7854,natural,fire,monitor,other,False,0,False,0.8810360614774486,0.1988406847545829
BC,58.2226,-123.8847,natural,fire,monitor,other,False,0,False,-0.4854021108930611,0.1053264216175775
BC,53.0419,-123.4067,natural,fire,full,other,False,6,False,-0.1835122308496604,-0.9481679420901016
BC,54.7353,-125.1753,natural,fire,full,other,False,17,False,-0.0905315324140141,-1.5822383573580985
BC,50.6693,-123.9888,natural,fire,monitor,other,False,0,False,-1.1033550223579796,-0.5094698525897641
BC,59.2839,-122.1495,natural,fire,monitor,other,False,0,False,-0.4230209838322022,-0.4201770010528901
BC,52.9571,-125.672,natural,fire,moderate,other,False,7,False,1.6029768586481492,-1.9725091468371692
BC,55.0104,-127.4476,natural,fire,moderate,other,False,6,False,-0.7183888772168404,-1.724933705046742
BC,59.2269,-128.0591,natural,fire,monitor,other,False,0,False,0.9080328229475428,-0.4074946129032241
BC,53.4541,-124.2051,natural,fire,moderate,other,False,1,False,-0.2629117058192135,-1.1117117053584984
BC,49.7128,-114.9208,natural,fire,full,other,False,0,False,-0.1847789822684932,-0.0888678625024245
BC,53.1661,-123.7126,natural,fire,full,other,False,6,False,0.9549136927934214,-1.0783756845298151
BC,59.8265,-123.5519,natural,fire,moderate,other,False,1,False,1.947090951678239,-1.1436446058840046
BC,53.5682,-125.2453,natural,fire,full,other,False,3,False,1.8959010106096492,-0.9115882708223446
BC,53.2252,-124.9064,natural,fire,moderate,other,False,1,False,0.653219875365449,-0.9251306698514392
BC,53.296,-123.6686,natural,fire,full,other,False,5,False,0.5911114907752758,-1.315407900361499
BC,59.9636,-120.9866,natural,fire,moderate,other,False,0,False,3.235205892516816,0.4994960775787365
BC,51.6366,-121.9257,natural,fire,full,other,False,8,False,-0.7416490093579677,-1.1548913257299416
BC,59.2838,-121.8901,natural,fire,other,other,False,0,False,2.345641340430558,-0.239486625541503
BC,50.1617,-114.995,natural,fire,moderate,other,False,0,False,0.2337677916335674,-0.209720883246546
BC,52.8191,-126.6494,natural,fire,moderate,other,False,0,False,0.1883070014661641,-0.710012741216818
BC,55.6319,-121.4276,natural,fire,full,other,False,0,False,-0.2091397962953001,-0.6473355475320516
BC,52.7728,-125.5802,natural,fire,full,other,False,8,False,0.4156630055080964,-1.5477117766680193
BC,53.675,-124.3337,natural,fire,full,other,False,1,False,-0.4880442826034027,-0.9322637860397875
BC,59.669,-122.625,natural,fire,monitor,other,False,0,False,-1.010408435295077,-0.2681463972116202
BC,55.3014,-124.841,natural,fire,full,other,False,0,False,1.4544266256297955,-0.3841968118793644
BC,58.0617,-121.9122,natural,fire,monitor,other,False,0,False,2.0262794776367348,-0.5363436201926746
BC,53.659,-123.7843,natural,fire,monitor,other,False,1,False,-1.1928413054011784,-0.8981004362469289
BC,52.9119,-125.4362,natural,fire,full,other,False,9,False,-1.025165370771936,-2.1643943893802273
BC,55.8798,-126.4014,natural,fire,full,other,False,3,False,0.7529352857910246,-1.4237592318209118
BC,55.7693,-126.3755,natural,fire,full,other,False,4,False,-0.4757148195592685,-1.4132281413938688
BC,58.7596,-127.7105,natural,fire,monitor,other,False,0,False,-0.5731988231716355,-0.3556950853690689
BC,58.0517,-123.3252,natural,fire,monitor,other,False,0,False,1.577373048525858,-0.3344551790274274
BC,54.4219,-123.6492,natural,fire,full,other,False,2,False,2.1033803419323776,-1.535504238990675
BC,55.1541,-120.6697,natural,fire,full,other,False,0,False,1.688284049743864,0.0259094311228533
BC,59.4272,-121.0306,natural,fire,monitor,other,False,0,False,1.8469714437800575,0.2909098754698444
BC,52.74,-125.0359,natural,fire,full,other,False,0,False,-0.1911511031849707,-0.5428815036927298
BC,49.2088,-121.383,natural,fire,moderate,other,False,4,False,-0.4849785044412762,-0.7538720983752838
BC,55.3867,-126.7215,natural,fire,full,other,False,9,False,-0.6307413850010007,-1.7979057865923416
BC,55.6386,-126.734,unknown,fire,moderate,other,False,0,False,0.35222553585434,-0.5823676850785277
BC,53.9829,-124.8257,natural,fire,full,other,False,5,False,-0.5410308960094371,-1.378615658765607
BC,53.8538,-128.5935,natural,fire,moderate,other,False,12,False,-1.3627700895731674,-1.4510044593939109
BC,59.9374,-127.762,natural,fire,other,other,False,0,False,-1.073809368373725,-0.2702392664273637
BC,57.9132,-123.9312,natural,fire,monitor,other,False,0,False,-1.3381012014796203,0.1481364937516774
BC,52.6094,-122.2498,natural,fire,full,other,False,6,False,-1.1739017602983917,-1.1757421307796836
BC,53.7755,-124.4256,natural,fire,full,other,False,2,False,0.6386764684120977,-0.8345547148815848
BC,52.106,-120.0346,natural,fire,moderate,other,False,0,False,0.2068277542561848,-0.1757845914419472
BC,55.3792,-120.0827,natural,fire,full,other,False,0,False,0.5918113121398505,-0.683097665489542
BC,55.7303,-127.2702,unknown,fire,moderate,other,False,1,False,-1.1552867584495754,-0.8220180690702805
BC,52.1458,-119.9619,natural,fire,moderate,other,False,0,False,1.5679682548700948,-0.0853146822053595
BC,55.3288,-125.3514,natural,fire,full,other,False,1,False,-0.8497245493802916,-0.8366874544199694
BC,58.672,-121.6427,natural,fire,monitor,other,False,0,False,2.3776046427129796,-0.2224521501808399
BC,54.7485,-123.8708,natural,fire,monitor,other,False,0,False,0.6958890482707635,-0.6565781401034195
BC,58.5021,-120.4118,natural,fire,monitor,other,False,0,False,2.9098208589662695,-0.4029880764588769
BC,59.4203,-123.6556,natural,fire,monitor,other,False,0,False,1.869459959793104,-0.1343084083582906
BC,52.6903,-121.3638,natural,fire,moderate,other,False,0,False,-1.090961291437632,0.0759284958884332
BC,50.5322,-124.3396,natural,fire,monitor,other,False,2,False,-1.1928413054011784,-2.444010470819363
BC,52.3739,-119.3284,natural,fire,full,other,False,0,False,-1.157782780461034,0.3740895242290092
BC,52.0612,-123.4915,natural,fire,full,other,False,3,False,-0.1794369141431136,-0.8237927043731714
BC,55.0552,-125.641,natural,fire,other,other,False,3,False,-0.0549176982170509,-1.4666463313709523
BC,52.0451,-118.7021,natural,fire,moderate,other,False,0,False,-0.2543061508723572,0.4662314778405819
BC,52.5471,-124.7398,natural,fire,moderate,other,False,0,False,0.8491260044108128,-0.6828294365208994
BC,51.0106,-116.3746,natural,fire,moderate,other,False,0,False,-0.8533659422696037,-0.0437813719986913
BC,52.1381,-119.5694,natural,fire,monitor,other,False,0,False,-0.0086011466477287,0.1737959757732563
BC,52.1472,-120.0256,natural,fire,moderate,other,False,0,False,-1.010408435295077,-0.1342504017465823
BC,51.5811,-125.0824,natural,fire,other,other,False,0,False,1.4362353683004614,0.0369157357678904
BC,50.4484,-120.4009,natural,fire,full,other,False,2,False,1.1885853220178295,-1.1668427906314307
