NFDBFIREID,SRC_AGENCY,FIRE_ID,FIRENAME,LATITUDE,LONGITUDE,YEAR,MONTH,DAY,REP_DATE,OUT_DATE,SIZE_HA,CAUSE,FIRE_TYPE,RESPONSE,PROTZONE,FN_indicator,dist_to_FN_km,n_FN_20km,n_FN_50km,n_FN_100km,any_evac,n_evac,n_FN_evac,total_evac_size,total_population,mean_match_dist_km,mean_evac_duration_days
BC-2023-2023-K52813,BC,2023-K52813,UPPER PARK RILL C...,49.3014,-119.7091,2023,8,18,2023-08-18,2023-10-26,2043.8,H,Fire,FUL,,False,6.4388263677076445,10,20,32,False,0.0,0.0,0.0,0.0,,
BC-2023-2023-C50100,BC,2023-C50100,DRIPPING WATER,52.0351,-123.177,2023,4,27,2023-04-27,2023-05-29,209.0,H,Fire,FUL,,True,0.0,7,27,123,False,0.0,0.0,0.0,0.0,,
BC-2023-2023-G30210,BC,2023-G30210,Teare Creek,53.2884,-120.0705,2023,5,4,2023-05-04,2023-08-09,1100.0,H,Fire,FUL,,False,156.02553782497148,0,0,0,False,0.0,0.0,0.0,0.0,,
BC-2023-2023-C30675,BC,2023-C30675,ELBOW LAKE,52.2548,-120.8352,2023,6,8,2023-06-08,2023-07-04,226.0,H,Fire,FUL,,False,40.72106531903451,0,2,30,False,0.0,0.0,0.0,0.0,,
BC-2023-2023-V11152,BC,2023-V11152,DAVIS LAKE,49.3115,-122.2438,2023,7,4,2023-07-04,2023-10-27,215.0,H,Fire,MOD,,False,17.426993640495496,11,69,191,False,0.0,0.0,0.0,0.0,,
BC-2023-2023-V10588,BC,2023-V10588,CHEHALIS RIVER,49.4837,-121.9887,2023,6,3,2023-06-03,2023-11-27,767.2,H,Fire,MOD,,False,19.83686560121957,1,103,253,False,0.0,0.0,0.0,0.0,,
BC-2023-2023-G80220,BC,2023-G80220,Boundary Lake,56.271,-119.9341,2023,5,1,2023-05-01,2023-10-11,6422.17,H,Fire,FUL,,False,24.588436682241948,0,5,13,False,0.0,0.0,0.0,0.0,,
BC-2023-2023-G80175,BC,2023-G80175,Cameron River,56.5319,-121.9246,2023,5,1,2023-05-01,2023-10-05,385.0,H,Fire,FUL,,False,0.9474032079097194,2,3,12,False,0.0,0.0,0.0,0.0,,
BC-2023-2023-K22757,BC,2023-K22757,,51.4623,-119.7008,2023,7,17,2023-07-17,2023-10-20,1771.9,N,Fire,MOD,,False,29.318474401267757,0,6,29,False,0.0,0.0,0.0,0.0,,
BC-2023-2023-C11290,BC,2023-C11290,Townsend Creek,52.8138,-122.9345,2023,7,7,2023-07-07,2024-01-09,2784.7,N,Fire,FUL,,False,27.489721767001647,0,24,86,False,0.0,0.0,0.0,0.0,,
